BLANKS,LOG2FC,LOG10TTEST,TTEST,GROUP
0,-0.143653756,0.256722522,0.553703766,NotImputed (0%)
0,-0.121198434,0.325471729,0.472637603,NotImputed (0%)
0,0.183910834,1.304782474,0.049569841,NotImputed (0%)
1,-0.664055917,0.362268031,0.434242143,NotImputed (0%)
0,-0.04072261,0.066272975,0.858473759,NotImputed (0%)
0,0.077199202,0.149802935,0.708267094,NotImputed (0%)
0,0.064771378,0.080110481,0.831552205,NotImputed (0%)
0,-0.099528314,0.290503488,0.512267156,NotImputed (0%)
0,-0.028656941,0.097747151,0.79845942,NotImputed (0%)
1,0.374912089,0.059873616,0.871217085,NotImputed (0%)
0,-0.316563547,1.015223601,0.096555363,NotImputed (0%)
0,-0.100751037,0.400223097,0.397902715,NotImputed (0%)
0,-0.14533673,0.778969654,0.166352888,NotImputed (0%)
0,0.206039262,0.380026909,0.416843555,NotImputed (0%)
0,-0.235293471,0.69603457,0.201356396,NotImputed (0%)
0,-0.116208641,0.603441793,0.249205835,NotImputed (0%)
0,0.039029488,0.07094422,0.84928955,NotImputed (0%)
0,0.038716824,0.181522824,0.658380828,NotImputed (0%)
0,-0.201250345,0.689018754,0.204635627,NotImputed (0%)
0,-0.171774382,0.336284665,0.461015296,NotImputed (0%)
0,0.311284047,0.772397463,0.168889456,NotImputed (0%)
0,-0.077471761,0.209100275,0.617873721,NotImputed (0%)
0,-0.099737183,0.352574721,0.444043257,NotImputed (0%)
0,-0.013195864,0.019566119,0.955947146,NotImputed (0%)
0,-0.101316676,0.869884171,0.134932271,NotImputed (0%)
0,-0.068067226,0.184276648,0.6542193,NotImputed (0%)
0,-0.272612931,0.948028937,0.112712235,NotImputed (0%)
0,-0.158980455,0.221149246,0.600967179,NotImputed (0%)
0,-0.031041839,0.08854746,0.815553658,NotImputed (0%)
0,-0.262106782,1.202045696,0.062799228,NotImputed (0%)
0,-0.369844532,0.850951821,0.140944515,NotImputed (0%)
1,0.125958086,0.21847774,0.604675343,NotImputed (0%)
0,-0.087391416,0.335082367,0.462293335,NotImputed (0%)
0,0.396603284,0.830295081,0.147810375,NotImputed (0%)
3,0.12549153,0.448555322,0.355995639,NotImputed (0%)
0,0.14556765,0.78805762,0.162907988,NotImputed (0%)
0,0.082215037,0.15545491,0.699109317,NotImputed (0%)
0,0.068159067,0.097618205,0.798696524,NotImputed (0%)
0,-0.134591711,0.201412423,0.628908663,NotImputed (0%)
0,-0.464514672,1.954514051,0.011104166,NotImputed (0%)
0,0.148492618,0.900434113,0.125766764,NotImputed (0%)
0,-0.107741613,0.442469933,0.361019007,NotImputed (0%)
0,0.145507975,0.425651699,0.375273848,NotImputed (0%)
0,-0.342723563,0.694042761,0.202282,NotImputed (0%)
0,-0.245363398,1.242985059,0.05714983,NotImputed (0%)
0,-0.200808923,0.52578824,0.297996909,NotImputed (0%)
0,-0.006842668,0.010912932,0.975185124,NotImputed (0%)
0,0.077627409,0.105213905,0.784848975,NotImputed (0%)
0,0.051237378,0.060976608,0.869007234,NotImputed (0%)
0,0.053582503,0.149301236,0.709085761,NotImputed (0%)
0,-0.186163468,1.169429147,0.067697223,NotImputed (0%)
0,-0.052781848,0.112194328,0.772334922,NotImputed (0%)
3,0.493370191,0.093245097,0.806779591,NotImputed (0%)
0,-0.205226082,0.360203237,0.436311604,NotImputed (0%)
0,-0.207084244,0.385146536,0.411958496,NotImputed (0%)
0,-0.139544241,0.603540419,0.249149248,NotImputed (0%)
0,-0.25627025,1.036241956,0.091993691,NotImputed (0%)
0,-0.235567603,0.497710869,0.317898978,NotImputed (0%)
0,-0.144777269,1.527191956,0.029703529,NotImputed (0%)
1,-0.404092144,0.019341312,0.956442108,NotImputed (0%)
0,-0.003837589,0.010324351,0.976507647,NotImputed (0%)
0,0.090161952,0.188700276,0.647589389,NotImputed (0%)
0,0.071738155,0.239118962,0.576608497,NotImputed (0%)
0,0.081947548,0.334109153,0.463330455,NotImputed (0%)
1,-0.579038179,0.393040224,0.404538422,NotImputed (0%)
0,0.07785375,0.150802275,0.706639199,NotImputed (0%)
0,-0.196960045,1.043275446,0.090515833,NotImputed (0%)
0,-0.492865127,1.422743069,0.037779563,NotImputed (0%)
0,-0.352673138,1.531856537,0.029386202,NotImputed (0%)
0,0.090405346,0.219866747,0.602744495,NotImputed (0%)
0,0.064125958,0.16016255,0.691572078,NotImputed (0%)
0,0.080606403,0.48356578,0.328423496,NotImputed (0%)
1,0.062068983,0.413879664,0.385585182,NotImputed (0%)
0,0.240166125,1.429957032,0.037157199,NotImputed (0%)
0,-0.130957092,0.521793863,0.300750347,NotImputed (0%)
0,-0.056934052,0.483839895,0.328216269,NotImputed (0%)
0,-0.092124035,0.232294597,0.585740702,NotImputed (0%)
0,0.022195517,0.026007925,0.941872409,NotImputed (0%)
0,-0.013641972,0.015024682,0.965995977,NotImputed (0%)
0,0.087256513,0.26617645,0.541780726,NotImputed (0%)
0,-0.042688484,0.063321479,0.864327879,NotImputed (0%)
0,-0.153498753,0.164997828,0.683915068,NotImputed (0%)
0,-0.017882577,0.070206525,0.850733382,NotImputed (0%)
0,-0.288430723,0.967388385,0.107798226,NotImputed (0%)
0,-0.020594989,0.121590133,0.755805185,NotImputed (0%)
0,-0.147523862,0.458041265,0.348304219,NotImputed (0%)
0,0.029783602,0.207047403,0.62080127,NotImputed (0%)
0,-0.5613075,0.531932187,0.293810839,NotImputed (0%)
0,-0.240207101,2.414244996,0.00385261,NotImputed (0%)
0,-0.102290952,0.211830948,0.614000963,NotImputed (0%)
0,0.128074368,0.272676673,0.533732105,NotImputed (0%)
0,-0.028073234,0.06072141,0.869518026,NotImputed (0%)
0,-0.118635533,0.322980489,0.475356581,NotImputed (0%)
0,0.073211934,0.136230671,0.73075085,NotImputed (0%)
1,-0.005409216,0.420180482,0.380031432,NotImputed (0%)
0,0.035472353,0.070304065,0.850542334,NotImputed (0%)
0,-0.094397181,1.046095988,0.08992988,NotImputed (0%)
0,-0.334788932,1.353434718,0.044316483,NotImputed (0%)
0,-0.288052716,2.38568482,0.004114482,NotImputed (0%)
0,0.083660252,0.397986188,0.399957469,NotImputed (0%)
0,-0.397101704,1.207483497,0.062017821,NotImputed (0%)
0,-0.011163025,0.027070864,0.939569987,NotImputed (0%)
0,-0.129566912,0.49379868,0.320775595,NotImputed (0%)
0,0.155161571,0.563565835,0.273170731,NotImputed (0%)
0,-0.283770783,1.130034627,0.074125114,NotImputed (0%)
0,0.045166615,0.128040466,0.744662585,NotImputed (0%)
0,-0.05453598,0.165764168,0.682709321,NotImputed (0%)
0,-0.201173816,0.384660939,0.412419376,NotImputed (0%)
0,-0.245794534,1.097393463,0.079910995,NotImputed (0%)
0,-0.077563692,0.09163204,0.809781703,NotImputed (0%)
0,-0.019615156,0.029802971,0.933677791,NotImputed (0%)
0,-0.257516269,1.231157449,0.05872764,NotImputed (0%)
0,0.193249127,0.374452718,0.422228245,NotImputed (0%)
0,0.068579964,0.184998492,0.65313282,NotImputed (0%)
0,-0.0689203,0.091458655,0.81010506,NotImputed (0%)
0,-0.103207743,0.230101921,0.588705481,NotImputed (0%)
0,-0.14930275,0.281593357,0.522885554,NotImputed (0%)
0,0.042736532,0.056187431,0.878643234,NotImputed (0%)
0,0.025397126,0.083345466,0.825381127,NotImputed (0%)
0,-0.060050704,0.160731356,0.690666901,NotImputed (0%)
0,0.028222512,0.166754278,0.681154643,NotImputed (0%)
0,-0.096065459,0.315916689,0.483151477,NotImputed (0%)
0,0.066696132,0.272566014,0.533868117,NotImputed (0%)
0,-0.104436273,0.140011809,0.724416262,NotImputed (0%)
0,-0.074299159,0.183931195,0.654739895,NotImputed (0%)
0,0.004530598,0.008759135,0.980033372,NotImputed (0%)
0,0.435486723,0.797448509,0.159423188,NotImputed (0%)
0,0.015498559,0.023827266,0.946613587,NotImputed (0%)
0,-0.05517474,0.122597691,0.754053759,NotImputed (0%)
0,-0.105698914,0.185943181,0.651713653,NotImputed (0%)
0,-0.01721353,0.078930647,0.833814326,NotImputed (0%)
0,-0.035420339,0.099877532,0.794552262,NotImputed (0%)
0,-0.163301128,0.660835515,0.218355676,NotImputed (0%)
1,0.802508043,0.670519615,0.213540564,NotImputed (0%)
0,-0.146541713,1.908361314,0.012349196,NotImputed (0%)
1,-0.517257028,0.134799441,0.733163032,NotImputed (0%)
0,-0.372657495,2.122137398,0.007548534,NotImputed (0%)
0,-0.078398971,0.167979989,0.679234929,NotImputed (0%)
0,-0.100256354,0.235038618,0.582051459,NotImputed (0%)
0,0.077301217,0.076893305,0.837735067,NotImputed (0%)
0,0.256076308,0.662374639,0.2175832,NotImputed (0%)
0,-0.035748739,0.099054121,0.79606014,NotImputed (0%)
0,0.077412565,0.156769565,0.696996239,NotImputed (0%)
0,0.03073761,0.067324005,0.856398692,NotImputed (0%)
0,-0.222292377,1.01766647,0.096013772,NotImputed (0%)
0,-0.052347044,0.289689381,0.513228327,NotImputed (0%)
0,-0.034830205,0.377248912,0.419518472,NotImputed (0%)
0,-0.014963129,0.050896091,0.889413893,NotImputed (0%)
0,-0.150235766,1.408487844,0.039040211,NotImputed (0%)
0,-0.169585729,0.516925865,0.304140416,NotImputed (0%)
0,-0.138390565,0.563260155,0.273363071,NotImputed (0%)
0,0.185047235,0.21306863,0.612253632,NotImputed (0%)
0,0.033321934,0.120817254,0.757151429,NotImputed (0%)
0,-0.134275077,0.50070366,0.315715817,NotImputed (0%)
0,-0.125983646,0.159103449,0.693260651,NotImputed (0%)
0,0.09394469,0.32866763,0.469172307,NotImputed (0%)
2,-0.552691805,0.391680468,0.405806998,NotImputed (0%)
0,-0.37116799,0.723501562,0.189015943,NotImputed (0%)
0,0.043917259,0.150375079,0.70733463,NotImputed (0%)
0,0.416025701,0.821866848,0.150706905,NotImputed (0%)
0,-0.120460894,0.260899542,0.548403803,NotImputed (0%)
0,-0.278216548,0.958738149,0.109966867,NotImputed (0%)
0,0.319381141,0.450873799,0.354100223,NotImputed (0%)
0,0.109423203,0.909721004,0.123105937,NotImputed (0%)
0,0.359325271,1.04714238,0.089713463,NotImputed (0%)
0,-0.153679866,0.323056304,0.475273605,NotImputed (0%)
0,-0.364401976,2.240668485,0.005745549,NotImputed (0%)
0,0.045897492,0.076588847,0.838322559,NotImputed (0%)
0,-0.297798038,0.573096056,0.267241527,NotImputed (0%)
0,0.271329997,0.62980623,0.234527498,NotImputed (0%)
0,-0.31870588,0.987092981,0.103016554,NotImputed (0%)
0,0.037805339,0.061250866,0.868458628,NotImputed (0%)
0,0.029369089,0.111387233,0.773771566,NotImputed (0%)
0,0.340949045,0.383665935,0.413365345,NotImputed (0%)
0,-0.13397162,0.342222069,0.45475547,NotImputed (0%)
0,0.148793282,0.280564973,0.524125183,NotImputed (0%)
0,-0.021225896,0.081727675,0.828461489,NotImputed (0%)
0,-0.122939247,0.31774876,0.481117595,NotImputed (0%)
0,0.0926115,0.337894775,0.459309285,NotImputed (0%)
0,0.205019388,0.401653781,0.396594073,NotImputed (0%)
0,-0.065731269,0.365472493,0.431049858,NotImputed (0%)
0,0.065353941,0.091318267,0.810366973,NotImputed (0%)
4,0.51074118,0.697925459,0.20048161,NotImputed (0%)
0,-0.127633631,0.392694923,0.404860192,NotImputed (0%)
0,-0.32093686,1.51920812,0.030254632,NotImputed (0%)
0,0.070543454,0.362442215,0.434068014,NotImputed (0%)
0,0.19019706,0.543291575,0.286225567,NotImputed (0%)
0,-0.001060446,0.008055333,0.981622869,NotImputed (0%)
0,0.075788909,0.44708922,0.357199449,NotImputed (0%)
0,-0.050605283,0.464498533,0.343163799,NotImputed (0%)
0,-0.112726101,0.356501756,0.440046169,NotImputed (0%)
0,-0.122834595,0.310741192,0.488943648,NotImputed (0%)
0,-0.105659459,0.290235612,0.512583224,NotImputed (0%)
0,0.070146428,0.229765211,0.589162083,NotImputed (0%)
0,-0.219684698,0.824977801,0.149631214,NotImputed (0%)
0,-0.232159966,0.643169625,0.227420901,NotImputed (0%)
0,0.06170461,0.212353348,0.613262843,NotImputed (0%)
0,-0.270287091,0.657891108,0.219841102,NotImputed (0%)
0,-0.398769347,1.27144324,0.05352501,NotImputed (0%)
0,-0.152694934,0.512264612,0.307422315,NotImputed (0%)
0,-0.213991055,0.253333153,0.558041949,NotImputed (0%)
0,-0.012530766,0.043550756,0.904584713,NotImputed (0%)
0,0.026216419,0.048719417,0.893882804,NotImputed (0%)
0,0.142190644,0.191101519,0.644018704,NotImputed (0%)
0,-0.134316163,0.82852427,0.148414294,NotImputed (0%)
0,-0.010818755,0.01892704,0.957354891,NotImputed (0%)
0,-0.12642861,0.631692355,0.233511162,NotImputed (0%)
0,0.115402712,0.397498943,0.400406443,NotImputed (0%)
0,-0.218052421,0.679589406,0.209127234,NotImputed (0%)
0,-0.033893425,0.065636908,0.859732001,NotImputed (0%)
0,-0.076645903,0.491810803,0.322247233,NotImputed (0%)
0,0.008866775,0.017967282,0.959472912,NotImputed (0%)
0,0.207915122,0.416181764,0.383546687,NotImputed (0%)
0,0.185046372,0.482010095,0.32960205,NotImputed (0%)
0,-0.257191104,0.72575975,0.188035674,NotImputed (0%)
4,-0.252713372,0.200669591,0.62998529,NotImputed (0%)
0,-0.125032808,0.985862343,0.103308881,NotImputed (0%)
0,-0.152986634,0.944863681,0.113536713,NotImputed (0%)
0,0.192182946,0.388848056,0.408462268,NotImputed (0%)
0,0.186293769,0.417489776,0.382393255,NotImputed (0%)
0,0.182283688,0.645804816,0.226045145,NotImputed (0%)
0,0.035550285,0.187116367,0.649955515,NotImputed (0%)
0,-0.146743273,0.303466432,0.497202802,NotImputed (0%)
0,0.070316967,0.110710138,0.774978871,NotImputed (0%)
0,-0.123231249,0.524849193,0.298641946,NotImputed (0%)
0,0.029511923,0.033202966,0.926396775,NotImputed (0%)
0,0.083222104,0.257793454,0.552340064,NotImputed (0%)
0,-0.143302013,0.745042635,0.179869433,NotImputed (0%)
0,0.129559742,0.34590544,0.450914872,NotImputed (0%)
0,-0.158372984,0.837434069,0.14540051,NotImputed (0%)
0,-0.112082673,0.60168822,0.2502141,NotImputed (0%)
2,0.377523136,0.935399179,0.116038157,NotImputed (0%)
0,-0.413587452,1.597059001,0.025289544,NotImputed (0%)
0,-0.107531388,0.450237736,0.354619215,NotImputed (0%)
0,-0.021008275,0.056741702,0.877522576,NotImputed (0%)
0,0.001032758,0.007249309,0.983446391,NotImputed (0%)
0,0.028437791,0.038834346,0.914461981,NotImputed (0%)
0,-0.108662359,0.479995946,0.331134213,NotImputed (0%)
0,-0.107136804,0.363429624,0.433082241,NotImputed (0%)
0,0.014639294,0.04862753,0.89407195,NotImputed (0%)
3,-0.893086852,0.657035747,0.220274515,NotImputed (0%)
0,0.074822895,0.081196724,0.829474951,NotImputed (0%)
0,-0.540752773,0.722785398,0.189327893,NotImputed (0%)
0,0.022135954,0.092501557,0.808162031,NotImputed (0%)
0,-0.169029905,0.720326565,0.190402846,NotImputed (0%)
0,-0.061941748,0.081846898,0.828234089,NotImputed (0%)
0,-0.348786107,0.702008947,0.1986054,NotImputed (0%)
4,-0.212283011,0.168835464,0.677898286,NotImputed (0%)
2,-0.017948295,0.034040125,0.924612744,NotImputed (0%)
0,0.303564629,1.841601151,0.014401206,NotImputed (0%)
0,0.072376404,0.191014171,0.644148246,NotImputed (0%)
0,-0.137681828,0.645037461,0.226444898,NotImputed (0%)
0,-0.031596155,0.079411888,0.832890889,NotImputed (0%)
0,-0.422643572,2.209267752,0.006176355,NotImputed (0%)
0,-0.224463467,1.341675243,0.045532842,NotImputed (0%)
