logFC,P.Value,adj.P.Val,symbol,FC,logPval
-0.855152496069323,1.78049872582541e-07,1.1677903409151e-05,GAR1,-1.6707482323799,6.74945833278287
-0.815275544314346,2.3872917549131e-07,1.32749258445865e-05,ATP5F1C,-1.61755921338367,6.62209450189566
-0.812009820411696,3.5365743596584e-07,1.70492355588532e-05,GNB2,-1.61325859305457,6.45141720605324
-0.820327519731052,4.03245569474676e-07,1.79444278416231e-05,PPIB,-1.6242284784615,6.39443039557761
-0.886107099542944,4.79541229681698e-07,1.96408504530525e-05,LMNB1,-1.71291430252721,6.31917404740159
-1.34496420701285,4.92294436593364e-07,1.96408504530525e-05,SCP2,-2.44182300273364,6.30777507215017
-0.833511927186461,6.81528231994442e-07,2.54363924005668e-05,SLC25A11,-1.64172763373111,6.16651614900694
-0.798244432220493,8.19886905989743e-07,2.87457318251555e-05,NDUFA10,-1.59522159954842,6.08624604943572
-1.23320909353449,1.04866552233721e-06,3.46658859812614e-05,C1QBP,-2.24455080065223,5.97936301034489
-0.725619277817216,1.1201606953269e-06,3.60007201248119e-05,MRPS34,-1.50242594608169,5.95071967010873
-0.780690393446971,1.15948416108638e-06,3.62573830912687e-05,HSPD1,-1.5724307497612,5.93573517958293
-0.752450953252012,1.24339838369029e-06,3.69282014863923e-05,PHB,-1.53625384344631,5.90538970151253
-1.04664716758223,1.32717760314892e-06,3.69282014863923e-05,H4C1,-1.94470053763643,5.8770709558798
-0.749647483328566,1.93221116593809e-06,4.65756012544611e-05,ATP5F1A,-1.53269472541002,5.71394541250115
-1.01177555633488,1.94331702018156e-06,4.65756012544611e-05,ATP5PO,-1.89240731205795,5.71145634562525
-0.804342132702757,2.52866777847482e-06,5.52012947112333e-05,TMED10,-1.60319349289063,5.59710822540165
-0.696179779378191,3.29706143122366e-06,6.51368700783248e-05,HSPA5,-1.46590773803724,5.48187296095727
-0.765054607435587,3.32158628748588e-06,6.51368700783248e-05,DDOST,-1.55232654845941,5.4786544610631
-0.704851833981284,3.68253240415166e-06,6.98473769115323e-05,VDAC1,-1.47660088291292,5.43385342292869
-0.911120735918022,4.15822390764575e-06,7.53921157834712e-05,HNRNPA1,-1.74756281580373,5.3810921289447
-0.675637074552746,4.37007703599293e-06,7.66087747067246e-05,POR,-1.44078803873203,5.35951090719165
-0.588113831830448,7.42401530662468e-06,0.000107181609859037,TRA2B,-1.33697707756865,5.1293611413722
-0.636426479253799,7.53264594467033e-06,0.000107181609859037,HNRNPA2B1,-1.39364788559292,5.12305244513739
-0.648262871078906,7.82128520043088e-06,0.000107181609859037,LETM1,-1.40776789033481,5.10672187742679
-0.826120993981379,7.87192164144477e-06,0.000107181609859037,SLC25A4,-1.63190113975613,5.10391923760232
-0.659649740166486,8.06955865023756e-06,0.000107181609859037,H1-5,-1.42144106356387,5.09315021757136
-0.649097894883703,8.18342083123182e-06,0.000107181609859037,CYB5R3,-1.4087675836966,5.08706511471876
-0.747808252469046,8.52538030054611e-06,0.000109598500085909,CTDSPL2,-1.5303628925646,5.06928623887566
-0.617899417899089,1.18961655979538e-05,0.000139024856903106,HSP90B1,-1.37173434929552,4.92459299894332
-0.980459994242334,1.25546417615459e-05,0.00014240902468734,SLC25A5,-1.84638988786214,4.90119567508196
-0.709224580818333,1.49774613647642e-05,0.000165037359990783,TMX1,-1.48201294215837,4.82456179202412
-0.596144544999792,2.26523411531573e-05,0.000212423213406406,ACADVL,-1.34629151694256,4.64488690635074
-0.949423417214742,2.83985189255125e-05,0.000252894736727543,HMGN2,-1.80164088155985,4.54670430922233
-0.609033593117026,2.86337169501367e-05,0.000252894736727543,SAMM50,-1.36132823283397,4.54312227244099
-0.741063433730838,3.38634633869796e-05,0.000283913240135764,SMARCE1,-1.52183286256337,4.47026862647121
-0.603016993900038,3.92384653756842e-05,0.000311810408467604,SEC61A1,-1.35429565467651,4.40628798630496
-0.665414567065977,4.54331190931728e-05,0.000343569403861444,AFG3L2,-1.42839708666696,4.34262744679854
-0.680012400762614,5.67443429479661e-05,0.000405266696239486,NXF1,-1.4461135491597,4.24607742838934
-0.657397283588224,0.000149754716421078,0.000843679950609785,DLST,-1.41872935051702,3.82461949091933
-0.61844764906971,0.000166171783062655,0.000915527395254725,CHD4,-1.37237952331742,3.77944272002583
-0.757214454213047,0.000228357683714466,0.00111480945171999,RBM28,-1.54231460953153,3.64138437079378
-0.707639892713861,0.000251011004856709,0.00119024480581644,GLUD1,-1.48005003577835,3.60030723770712
-0.674246996787423,0.00180374677931951,0.0052765682650581,CBX3,-1.43909885571075,2.74382443135237
-0.811579589538209,0.00319391457188626,0.00838652939312998,MDH2,-1.61269264024928,2.49567670418206
-1.11754063279012,0.00472184886036064,0.011405384408011,HNRNPC,-2.05454805555606,2.32588791818102
