logFC,P.Value,adj.P.Val,symbol,FC,logPval
1.02257785769454,2.52418641815819e-07,1.32749258445865e-05,RPRD2,1.90848674962915,6.59787857439312
0.936196270258652,2.8236390729223e-07,1.42041322059613e-05,NUP98,1.78282437898693,6.54919081705928
0.952088872673652,3.96491431648704e-07,1.79444278416231e-05,ANKRD17,1.80545095336674,6.40176619353653
1.36863026276133,4.48945280857507e-07,1.92381366648939e-05,ZFR,2.48543814284204,6.34780658921899
0.905361492770194,6.6773687356585e-07,2.54363924005668e-05,HUWE1,1.73953902545293,6.17539464062437
0.980408603687579,7.69556724478707e-07,2.78242853194333e-05,POGZ,1.8463150916372,6.11375936255098
1.24305294013489,8.6893120552089e-07,2.95692177878726e-05,LIN54,2.26136947704818,6.06101460588198
0.806053507552157,1.28110565081561e-06,3.69282014863923e-05,COTL1,1.60543601776344,5.89241505317943
0.896914505598822,1.324647791335e-06,3.69282014863923e-05,SF3A1,1.72782077429023,5.87789958030328
0.63364433406506,1.34052243943689e-06,3.69282014863923e-05,TKT,1.39034262831647,5.87272591182504
1.11382757964551,1.57793985717111e-06,4.24575910406273e-05,TCERG1,2.04867399893485,5.80190955384934
0.709448837905502,1.7425823689927e-06,4.58219954755579e-05,GATAD2A,1.48229086716385,5.75880668436135
0.666154004894427,1.87340102412706e-06,4.65756012544611e-05,ALDOA,1.42929096380819,5.72736924669131
0.615039531898113,1.93844045236794e-06,4.65756012544611e-05,FLNA,1.36837196389377,5.71254753569635
1.07526535085624,1.97251898139032e-06,4.65756012544611e-05,PREP,1.98846365013719,5.70497880891783
1.39906049886362,2.14548081638687e-06,4.96464260911922e-05,MBNL1,2.54250382438661,5.66847536431685
1.95851751830306,2.33598500756053e-06,5.2026384101216e-05,UBAP2,3.82230075039544,5.63152994886898
0.692505015697165,2.33826445398723e-06,5.2026384101216e-05,ARID2,1.46139254187405,5.63110637238188
1.08080392476652,2.82186916951289e-06,6.04611597986372e-05,RAD23B,1.99702310426576,5.54946312533566
1.02684933756976,2.87632558786777e-06,6.05074310029638e-05,ZNF207,1.91487440068146,5.5411619552116
0.905304532860654,3.13703636362134e-06,6.41866056571573e-05,RBM27,1.73945980743172,5.50348044705662
0.673024497558224,3.16217504101812e-06,6.41866056571573e-05,TPM3,1.43761441357235,5.50001409352961
1.47022608481142,3.66357100867467e-06,6.98473769115323e-05,SAP30BP,2.68042165794638,5.43609538638874
0.732127601688209,3.81215132193987e-06,7.11396625723296e-05,TAF6,1.51058309894066,5.41882986853237
1.10385396911878,4.23209538607511e-06,7.53921157834712e-05,ELF1,2.03296280215188,5.37344455241445
1.20875852664539,4.23551212266692e-06,7.53921157834712e-05,SEC23IP,2.20322632048395,5.37309407090549
0.674263182477532,4.84523987371367e-06,8.36707840878615e-05,PSMA1,1.43911851641097,5.31468471742613
0.619782872214103,5.11889341490053e-06,8.70964658976458e-05,SEC24C,1.37395168114099,5.29082391319296
1.19986823776968,5.50325864127613e-06,9.20520524380791e-05,PPP1R12A,2.18835813755701,5.25938007580607
0.69148406822862,5.59022970749943e-06,9.20520524380791e-05,BAG6,1.460139784106,5.25257034620127
0.593663138794994,5.64882949274297e-06,9.20520524380791e-05,PKM,1.34340901280166,5.24804153404017
0.875705183672473,5.99239744740308e-06,9.62944978700745e-05,EVL,1.69865790811281,5.22239938965277
0.689366960194551,6.30392993642114e-06,9.85627964383684e-05,CFL1,1.45754430765497,5.20038862235777
0.795859057800481,7.15736514458712e-06,0.000107181609859037,TRIM33,1.59211081734612,5.14524682598375
0.7401651408573,7.51218625123309e-06,0.000107181609859037,HSPA4,1.52069932458693,5.12423365305291
0.756238319080691,7.87669140253981e-06,0.000107181609859037,PSMA6,1.54107127164822,5.10365616923164
0.699630827813582,7.89732994021165e-06,0.000107181609859037,EIF4H,1.47015671378882,5.1025197173472
0.731107146647602,8.23481077710858e-06,0.000107181609859037,ICAM3,1.5093020922687,5.08434637577799
0.851127703042337,8.81523280397302e-06,0.000112079388507657,FOXK1,1.66532261391412,5.05476621380757
0.729341625196435,9.29184110259688e-06,0.000116245908507485,TSG101,1.50708756524915,5.03189822556739
0.598256972321538,9.34388028625419e-06,0.000116245908507485,PSMB7,1.34874853807341,5.02947273437468
0.736500822594991,1.10073483725199e-05,0.00013067228001852,KANSL3,1.51608149692006,4.95831728828329
0.844701515504998,1.10681792928392e-05,0.00013067228001852,MAP4,1.65668664812982,4.95592381436122
0.945530957050238,1.2015977260424e-05,0.000139024856903106,CARM1,1.79608794141569,4.92024090221755
0.601441868834002,1.22817295524979e-05,0.000140692684081585,TXNRD1,1.35245844513198,4.91074047014804
1.35783358789876,1.35717207249304e-05,0.00015098539306485,SP1,2.46545825847312,4.86736508572524
1.04433793080546,1.8809981112429e-05,0.000198743972102244,ZNF384,1.94120283136158,4.72561164053532
0.67533038564401,2.15582580213415e-05,0.000212423213406406,DUT,1.44041524413368,4.66638633450029
0.691500105808117,2.19715750268308e-05,0.000212423213406406,ZMYM4,1.46015945742886,4.65813880967285
0.849125232702644,2.27661870893642e-05,0.000212423213406406,HEATR3,1.66262801671032,4.64270969949947
0.607372259632877,3.4895496003755e-05,0.000290461071052838,FNBP1,1.35938400114368,4.4572306242427
0.700252368345225,3.52726612201977e-05,0.000291503350226919,SEC31A,1.47092285584811,4.45256177283473
1.0603571707843,3.80860120380025e-05,0.000306010527277561,NCOR1,1.96556942335417,4.41923449965625
0.756826454175183,5.05834707687188e-05,0.000372771182671387,HDGF,1.54182031562797,4.29599137499184
0.605172953696915,5.6065976874378e-05,0.000402908914556865,COPG1,1.35681296130438,4.25130060644732
0.584283603178982,6.54721751537075e-05,0.000450900634838331,EEF1B2,1.33254918773677,4.18394323046092
0.717218213841216,6.85142185444751e-05,0.000468645275389033,NOSIP,1.4919417269763,4.16421929135985
0.714954478601086,7.19001940816246e-05,0.000483654212514184,RBPJ,1.48912533606797,4.1432699373158
0.761240590336723,0.000187208180148802,0.000971299840502979,PRDX6,1.5474503098527,3.72767517848323
1.23759158888485,0.000227039287468651,0.00111306972712385,MAFK,2.25202554880937,3.64389898485753
0.826544997281214,0.00036309521313818,0.00160343954809494,IPO5,1.63246370588643,3.43997947656598
1.1275766726856,0.000374429759974829,0.0016409667889806,SAP130,2.07049330339321,3.4266296404916
