logFC,P.Value,adj.P.Val,symbol,FC,logPval
0.0183569434242727,0.64563279817732,0.827217946557692,BAZ1B,0.765966222644946,0.190014415544938
-0.0128241574938972,0.645696767062274,0.827217946557692,TAB1,-0.761141062845292,0.189971388056805
0.0576931208953511,0.646549551547334,0.827977948388597,CA8,0.80060037901756,0.189398185185891
0.0115339582425662,0.646949835780398,0.828158096364152,OCIAD1,0.76001748827393,0.189129393038225
-0.0517695561982343,0.647304827724538,0.828280144581338,CD44,-0.795347452057534,0.18889115391779
-0.012119107901583,0.648695112548802,0.829418430145081,TBC1D4,-0.760526992542023,0.187959374154068
0.0179577686638623,0.648714414799992,0.829418430145081,ARHGDIB,0.765617724880262,0.187946451694345
-0.0296929329253217,0.649032673318313,0.829492879761786,PTEN,-0.775887638325495,0.187733439586883
-0.00981044932174591,0.650668493718956,0.830954319952428,MAP2K3,-0.758517512620315,0.186640221904952
-0.01109916894832,0.650697144589707,0.830954319952428,CHD1,-0.759638987460777,0.18662109904708
-0.0149057234380194,0.651369188532505,0.831467043506821,GSN,-0.762955085597442,0.186172788550992
-0.0121946003137516,0.651619940052367,0.831467043506821,TUBG1,-0.760592734760883,0.18600563442766
-0.0103697964235536,0.652108572363677,0.83147194686074,HOMER3,-0.759004195540995,0.185680090689992
-0.0122445806557323,0.652570212407236,0.83147194686074,EVL,-0.760636261056941,0.185372754149764
-0.0118525337345936,0.652949972215691,0.83147194686074,KAT7,-0.760294864316886,0.185120092267007
-0.0135902466447941,0.653321785995519,0.83147194686074,ARHGEF7,-0.761808502266193,0.184872859367389
0.0104568286593789,0.653500546656401,0.83147194686074,EFTUD2,0.759079931767997,0.184754044793828
-0.0134601181144767,0.653759502140436,0.83147194686074,NAA50,-0.761695115319938,0.184581985777186
0.0112677821152722,0.653992274250097,0.83147194686074,UBXN4,0.75978576351957,0.184427382058561
-0.0159576040306462,0.654148659637189,0.83147194686074,PPP6C,-0.763872372082318,0.184323544147479
-0.0266175294319453,0.654200722606717,0.83147194686074,NDUFS8,-0.773191292961858,0.184288980504623
-0.0176586336778897,0.654230277937447,0.83147194686074,DTD1,-0.765356604820245,0.184269360490967
-0.0163611952957261,0.655296940413215,0.8324959139459,ACTR3,-0.764224429313916,0.183561859763623
0.0134495597269648,0.655844513326632,0.832859871621001,TRIM28,0.76168591558531,0.183199110331997
0.0116182511561025,0.656636916800231,0.833286910054329,FDXR,0.760090876486657,0.182674704439557
-0.0177577131357083,0.657093009308876,0.833286910054329,UTP15,-0.765443089333493,0.182373153163662
0.0107550043377813,0.657164555078057,0.833286910054329,DDX54,0.759339427846321,0.182325868774922
0.0167400628293422,0.657225663227803,0.833286910054329,TRIM5,0.764554974178058,0.182285486654173
0.0189646350418116,0.657660864563574,0.833507412776243,STXBP2,0.766496877727674,0.181998000941072
-0.0145835039070263,0.65804622873942,0.833664602731831,CORO1B,-0.762674177061949,0.181743595472362
0.015153299006851,0.658938912900228,0.834464125506839,SPTAN1,0.763170945949031,0.181154844920457
