logFC,P.Value,adj.P.Val,symbol,FC,logPval
-0.934810512555281,2.43785478170505e-09,7.77431889885742e-06,CSNK1A1,-1.78086174576941,8.61299216802959
-0.621978531140471,1.39815358418773e-06,0.00222935588998734,RPL27A,-1.37653951809962,5.85444511964782
-0.669488488289435,5.62133581190895e-06,0.00597547996805921,RPL37,-1.43332655655881,5.25016046969679
-0.68153399170744,4.93571029188183e-05,0.0224856858868731,BANF1,-1.44796869671167,4.30665033972229
-0.60094633516379,8.55350051594904e-05,0.0303079034948461,RPL35,-1.35188079327072,4.0678561140863
-0.692890478195899,0.000116688739290979,0.0338291263271755,TMEM109,-1.46186571549511,3.93297105226442
-0.587825125797742,0.000413935945765925,0.0586180806981392,UBE2L3,-1.33664299442629,3.38306685828166
-0.616067923306204,0.000422770729400189,0.0586180806981392,RPL29,-1.36958043011042,3.37389508877244
-0.764748483325906,0.00312337524544131,0.0923492980324149,COX7C,-1.55193476736444,2.50537583605971
-0.663902942090978,0.00418014163391604,0.0994811318698378,TMSB4X,-1.42657091039517,2.37880900296513
-2.10152757370836,0.00437111920928428,0.100988005726643,TMEM230,-4.2333827231386,2.35940734925769
-0.937495136464985,0.00491375476474928,0.101154993810972,ZNF706,-1.78466544211385,2.30858652204678
-0.809292784430532,0.00534763123802226,0.103985341573494,PTMA,-1.60968683859182,2.27183854845826
-2.19513402575152,0.00540195214202771,0.104362006573456,ARHGAP35,-4.52472880562026,2.26744926771342
-0.630730697883376,0.00640263904858041,0.111573857518704,NUCKS1,-1.38688669911142,2.19364098101643
-0.674712340448831,0.00665748482826529,0.112962069206165,DIAPH1,-1.43966417926884,2.1766898146011
-0.697641863469777,0.00908758415146321,0.119753329995935,NME1,-1.46770684952934,2.04155155452664
-0.772461025532518,0.0167548624243003,0.150162487642007,RPS15,-1.56182670913132,1.77585913384557
-0.652347935599614,0.035751060258578,0.210628426554726,,-1.41266303977958,1.44671107392942
