MWRT,NOT,LEN,BTZ,LBH
"534.15073,12.475",15778446.81,0,29576926.92,0
"180.042,12.479",195799933.8,0,178713050.6,0
"453.35585,12.487",17042754.8,24109727.27,12516275.33,0
"256.04918,12.511",16730165.61,0,11421642.46,0
"443.33641,12.518",26678104.12,0,16856335.99,0
"335.22117,12.625",61914559.64,0,83245973.19,0
"226.15655,12.629",26544394.08,0,20252958.16,0
"543.12761,12.632",74999727.63,0,125872553.5,0
"351.16368,12.638",9321360.432,0,5709085.399,0
"243.18331,12.64",1781149671,0,1570730553,0
"172.07326,12.643",121684242.7,0,146383078.2,0
"343.12446,12.658",32853200.66,0,22260275.96,0
"366.12712,12.663",35357355.61,0,21029923.19,0
"150.0673,12.664",54492570.26,0,18440970.52,0
"321.14262,12.668",19461869.7,0,13968245.58,0
"156.07848,12.688",241970722.1,0,202274585.1,0
"402.0952,12.692",36788163.99,0,24183059.2,0
"305.27104,12.76",15009544.16,0,13806084.22,0
"198.12521,12.762",51614317.34,0,53276473.15,0
"300.19383,12.817",17065699.51,0,17160185.36,0
"359.99971,12.856",11065705.84,0,10911227.09,0
"359.99986,12.857",16962909.49,0,6397251.671,0
"299.17262,12.877",16352367.51,0,15886958.05,0
"194.14162,12.901",18623773,0,10357875.52,0
"465.13249,12.951",119499503.6,0,58368917.31,0
"158.09357,12.955",18653405.49,0,17619573.79,0
"206.09392,12.956",19318315.28,0,14394223.48,0
"313.03719,12.957",41058780.36,0,39016600.22,0
"283.03813,12.958",26401815.12,0,31868534.81,0
"646.45656,12.987",14220307.43,47662989.18,9251598.385,0
"188.14064,13.006",20657017.23,0,36125219.27,0
"200.14087,13.035",66277503.18,0,21963582.31,0
"216.13584,13.094",7587033.305,0,7867401.247,0
"183.0893,13.096",8949091.89,0,10327628.04,0
"584.32945,13.15",38658711.03,0,34177338.14,0
"227.18811,13.223",3033207834,0,3132081469,0
"393.29845,13.224",22202872.96,0,21947793.21,0
"422.31398,13.224",13958656.11,0,9416189.619,0
"227.18825,13.225",3214033912,0,2462897852,0
"407.10231,13.243",8975540.812,0,13452195.07,0
"220.07303,13.247",49705707.45,0,42950044.02,0
"240.1145,13.247",37303036.4,0,19235786.12,0
"339.25514,13.259",22134780.42,0,16030895.49,0
"240.06694,13.319",53124680.06,0,81980109.11,0
"712.30363,13.371",136022595.2,0,219626225.3,0
"430.35565,13.39",60428492.87,0,42354683.36,0
"176.15631,13.397",9121234.872,0,13744361.85,0
"176.15608,13.399",10801855.19,0,9218119.336,0
"204.1146,13.427",29645508.44,0,24564516.69,0
"204.11472,13.427",25505559.91,22819321.13,29645861.01,0
"171.16211,13.465",9182467.632,0,9701891.916,0
"367.19963,13.476",41054802.82,0,70744904.5,0
"338.22008,13.562",54582604.58,0,30234228.5,0
"232.16709,13.583",94843585.79,0,128061812.7,0
"324.19411,13.599",11004933.64,0,14390410,0
"508.42281,13.603",149139519.7,0,88104773.04,0
"214.06273,13.606",20421806.39,0,18111341.73,0
"188.08353,13.608",270008888.2,0,195107262.3,0
"242.12998,13.611",12598299.91,0,13958825.16,0
"142.07813,13.612",43732611.41,0,60281233.24,0
"301.04918,13.616",38304425.02,0,47219716.05,0
"567.42424,13.621",12708681.6,0,23486769.87,0
"714.38344,13.624",7820666.632,0,13269962.7,0
"340.18876,13.625",93674481.29,0,43054595.13,0
"567.42375,13.625",78309192.79,0,74881004.18,0
"348.20876,13.626",9397225.922,0,37866381,0
"212.10219,13.627",12220670.85,0,32375254.33,0
"247.12023,13.635",14416841.56,0,18194959.46,0
"237.09943,13.644",54038809.93,0,67539903.29,0
"218.13045,13.651",249682838.2,0,193741091.7,0
"186.05226,13.688",28896325.07,0,26161159.31,0
"438.22551,13.691",20449822.84,0,15132424.88,0
"168.15124,13.696",34550882.44,0,61937460.5,0
"178.0989,13.715",204433827.2,0,272585528.1,0
"240.06301,13.734",99033022.29,0,46619893.77,0
"432.17351,13.734",13070697.79,0,12468874.53,0
"310.17811,13.78",209293023.5,0,146657120.9,0
"310.17808,13.78",125951454.9,0,126974667.3,0
"302.13057,13.781",13747608.47,0,30887285.92,0
"278.18828,13.783",228099708.1,0,157728560.4,0
"329.28194,13.785",110643072.3,0,175890153.8,0
"281.03453,13.785",51223005.35,0,121729397.5,0
