"F3.BTZ","F4.BTZ2","F6.BTZ3","F7.BTZ4","F8.BTZ5","F11.BTZ9","F12.BTZ10","F13.BTZ11","F14.LBH","F15.LBH2","F16.LBH3","F17.LBH4","F18.LBH5","F19.LBH6","F22.LBH9","F23.LBH10","F24.LBH11","F1.LEN","F25.LEN2","F26.LEN3","F27.LEN4","F28.LEN5","F29.LEN6","F30.LEN7","F32.LEN9","F33.LEN10","F34.LEN11","F35.NOT","F36.NOT2","F37.NOT3","F38.NOT4","F39.NOT5","F40.NOT6","F41.NOT7","F43.NOT9","F44.NOT10"
"1",35.6014783948345,35.3815620561147,35.6292507985713,35.5405918770471,34.6003394967066,34.5960840294912,35.5157459424324,35.5072890776294,35.9956267953289,36.008460715476,36.3459022062238,35.8396794463857,36.3539207849111,35.7658859399025,36.0364204353585,36.2062299666094,36.3215623143835,35.2752043743693,35.3482305439331,36.6056734659075,35.2784642008056,35.042533108061,34.9493644404137,35.4757071826747,35.2985608813875,35.3464349098559,35.8721076091314,34.8478303822448,35.7008517281831,33.7916346740156,35.6244150643122,35.5725451923606,35.6658306258291,36.0850004932844,34.8923921586551,35.6482535266887
"2",33.7530481189924,33.2776915670676,33.5555924440247,33.7849459815504,33.3719406025972,33.2674388208353,33.1331700000455,33.1247131352425,34.0359407816018,33.9275150441599,33.4474405236189,33.4962825355057,34.259044906091,33.4773229512143,33.8280683434005,34.2677898055104,34.4641246929313,34.0427596951823,33.8787277132364,34.6489583334551,33.656983612408,33.5326183390948,33.5813904233797,33.9017272283984,34.0794610647621,33.4483012616204,34.4251194201007,34.0966485101756,33.6047423589764,33.7869581458374,33.8073882533641,33.7343793294675,33.4174868828529,33.9646313501861,33.2626068878079,33.5068165903835
"3",33.0043161399353,32.9368753411406,32.7258074504487,33.14475487159,33.305617294143,33.2529591664276,32.8273479285061,32.818891063703,33.3931862711694,33.1073981741207,33.3242647089161,32.9632596834154,33.2982444851471,32.745853462622,33.7157743849491,33.5529202879979,33.1332255512423,33.8656858498506,32.8653308516768,33.494032017562,33.4935469339147,33.1942314265092,33.2562609362225,33.3966632265277,33.0500026152965,33.046189104154,33.7937396002513,33.5678473441903,33.4406333893624,32.9879465682788,33.4811507559072,33.6511344751133,33.2487321408516,33.1936681850017,32.7898860269507,33.2974862445299
"4",32.9320470400481,32.7331483886308,32.6768078302963,32.8870236177645,32.8437689358847,32.3716310082475,32.613211484305,32.6047546195019,32.6695975482055,32.9390821963466,33.1768945012298,32.8922065319581,33.2889969786948,32.6347536308528,32.8051211321368,32.8877177605029,32.8507912460083,33.1427497425667,32.8008982862529,33.2122273384795,33.1417630041953,33.0885891649069,32.6628167566695,33.2001740801526,32.8914839907162,32.733818964122,33.2530642127189,33.4252550900516,33.0501758775469,32.8741684026284,33.27156255973,33.1139600222835,32.9008407543029,33.1057088577391,32.7093688801707,33.2863425894856
"5",32.802428208229,32.1728474977521,32.5109907920058,32.3564823867826,32.8283456936798,32.3397777282699,32.4621167036231,32.45365983882,32.5851908287105,32.2602789342326,32.7733298535067,32.8235942049165,33.2618798324425,32.5299988131674,32.5926171822118,32.8383209101009,32.7001355078728,32.9496119645896,32.7684740972962,33.1987615621319,32.6703299034285,32.9725460230448,32.6233005363018,33.0264964614535,32.8289218059138,32.5638775353961,33.100619434185,33.0443755593341,32.9551322864082,32.7768994276126,33.2062078554194,32.9869592987459,32.6563867949217,32.9204340211912,32.6366500789773,33.067074069872
"6",32.7816126724647,32.1043020539264,32.4634187430158,32.2839075718908,32.4690545573967,32.3024465868159,32.2868039957947,32.2783471309917,32.5669269307423,32.2279197476398,32.6524081096044,32.7234745779664,32.5990504383617,32.4488029844598,32.5639536206322,32.5669185588223,32.4276088561349,32.8385055372401,32.6639402046334,32.9532688448689,32.5913865229159,32.6145647086485,32.5895860794765,32.836001179481,32.80545484853,32.556245138107,32.8326837311462,32.4278260489807,32.5745605258302,32.4717302710496,32.9224644446946,32.4508773353303,32.5348938660178,32.7889556765514,32.58366289339,32.7770307659132
"7",32.5182015853019,31.9549930659632,32.3711077776034,32.1594256538315,32.4512922152402,32.2216972992446,31.9641166635085,31.9556597987054,32.5419430164355,32.1213453868595,32.6202727512383,32.5779348243978,32.5397708732043,32.3717019861871,32.5217018602101,32.5206889076197,32.4049328018717,32.7382659480042,32.5013916021556,32.8655786070374,32.3917705582029,32.6132502809312,32.5614862816536,32.7155579232673,32.771815600546,32.5447034805683,32.5649071083971,32.3997010506123,32.2713101165881,32.015402406501,32.7602991149457,32.4496509764216,32.5112528285144,32.662993615686,32.5592680663883,32.4313426694722
"8",32.2747873241227,31.9395118406403,31.8622983234597,32.092174276331,32.3562836382262,32.0779041052851,31.9218532471828,31.9133963823798,32.339265135168,32.0834213544107,32.5518656759816,32.3820435196797,32.5099979299293,32.3674881528793,32.4254633435376,32.4770624427446,32.402044671865,32.6331991319984,32.4787334049598,32.4107061144874,32.016952756092,32.4485938019969,32.5016321434872,32.5014843072708,32.1703008930347,32.5239138828546,32.4121426859094,32.3417633821761,32.253871153477,31.9029765904685,32.404437289508,32.3343800019711,32.1422208561587,32.3323889933026,32.4760016994237,32.3524788669618
"9",32.2120165899938,31.910377132511,31.6504886323796,32.0420953461547,32.2792682685434,31.8858381735506,31.8409171952057,31.8324603304026,32.312925944268,32.0784009034099,32.2302476407788,32.3809790629144,32.2853964138901,32.0245118047329,32.3247315302584,32.4120463202642,32.2671541413459,32.3941676272825,32.2338468297982,32.2159563670774,31.9067699263152,32.4207732551895,32.3239145533907,32.3741464891916,32.1252691173664,32.2013828572998,32.090243326906,32.1310469291778,32.2027187018736,31.8120641617037,32.34739352833,32.2698045899113,32.0397756322996,32.2200584702412,32.435717189794,32.172387471131
"10",32.0323425513588,31.884707507301,31.6398990215556,31.9879229398248,32.2711190377712,31.8319512884631,31.8311125292403,31.8226556644373,31.9461725863101,31.9420541723787,32.1643439778094,32.345070839513,32.1180228104707,31.8503366294116,32.2817160163066,32.3667259644893,32.2591570073196,32.3490672498409,31.9161083157271,32.1033175711083,31.8693537610804,32.1856657575605,32.2304203080643,32.3488942881602,32.0688906503718,32.170301927007,32.0517688937448,32.1241962808786,32.1877493393018,31.7561691960197,32.1674497325707,32.2100699519295,31.9199730280902,32.0979381588399,31.9859679725123,31.9427941932134
