Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,Area,Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,Area,Study File ID,Sample,"WT,RT",Enrichment
TRUE,317.29213,8.124,0.194,2,1,58941112.83,F44,NOT,"317.29213,8.124",TRUE,317.29213,8.124,0.185,2,1,54628314.58,F33,LEN,"317.29213,8.124",0.926828693
TRUE,317.2925,8.131,0.179,2,1,57114281.38,F37,NOT,"317.2925,8.131",TRUE,317.2925,8.131,0.189,2,1,50185346.03,F29,LEN,"317.2925,8.131",0.878682964
TRUE,266.26045,8.144,0.231,2,1,79490924.93,F40,NOT,"266.26045,8.144",TRUE,266.26045,8.144,0.317,2,1,96015456.42,F27,LEN,"266.26045,8.144",1.207879472
TRUE,344.27489,8.196,0.135,4,1,26847827.3,F42,NOT,"344.27489,8.196",TRUE,344.27489,8.196,0.147,3,1,29823701.33,F28,LEN,"344.27489,8.196",1.110842267
TRUE,314.26361,8.204,0.091,3,2,170599996.3,F39,NOT,"314.26361,8.204",TRUE,314.26361,8.204,0.088,3,2,164790954.8,F27,LEN,"314.26361,8.204",0.965949346
TRUE,228.20881,8.204,0.133,2,1,33737223.65,F40,NOT,"228.20881,8.204",TRUE,228.20881,8.204,0.107,2,1,21671237.76,F28,LEN,"228.20881,8.204",0.642353917
TRUE,268.24046,8.278,0.11,2,1,34250380.61,F40,NOT,"268.24046,8.278",TRUE,268.24046,8.278,0.102,2,1,32612632.29,F28,LEN,"268.24046,8.278",0.952183062
TRUE,321.28462,8.29,0.091,2,1,40803378.52,F39,NOT,"321.28462,8.29",TRUE,321.28462,8.29,0.081,2,1,38655283.18,F28,LEN,"321.28462,8.29",0.947354964
TRUE,534.4629,8.328,0.046,2,1,16289475.56,F40,NOT,"534.4629,8.328",TRUE,534.4629,8.328,0.048,2,1,16045105.96,F27,LEN,"534.4629,8.328",0.984998314
TRUE,629.39619,8.328,0.054,3,1,6777472.593,F40,NOT,"629.39619,8.328",TRUE,629.39619,8.328,0.054,2,1,7482827.718,F28,LEN,"629.39619,8.328",1.104073475
TRUE,314.19902,8.33,0.072,3,1,8170477.544,F42,NOT,"314.19902,8.33",TRUE,314.19902,8.33,0.079,4,1,21249587.21,F30,LEN,"314.19902,8.33",2.600776649
TRUE,386.19853,8.338,0.11,3,1,48908046.33,F35,NOT,"386.19853,8.338",TRUE,386.19853,8.338,0.107,3,1,53646777.01,F28,LEN,"386.19853,8.338",1.096890615
TRUE,281.2715,8.357,0.073,2,1,19334258.24,F36,NOT,"281.2715,8.357",TRUE,281.2715,8.357,0.071,2,1,16246643.4,F25,LEN,"281.2715,8.357",0.840303424
TRUE,352.31526,8.372,0.154,2,1,36109446.97,F41,NOT,"352.31526,8.372",TRUE,352.31526,8.372,0.17,2,1,35987904.46,F33,LEN,"352.31526,8.372",0.996634052
TRUE,255.25536,8.382,0.081,2,1,28284485.68,F45,NOT,"255.25536,8.382",TRUE,255.25536,8.382,0.087,2,1,25301690.03,F34,LEN,"255.25536,8.382",0.894543048
TRUE,255.25572,8.383,0.082,2,1,34745754.1,F39,NOT,"255.25572,8.383",TRUE,255.25572,8.383,0.107,2,1,39642075.07,F29,LEN,"255.25572,8.383",1.140918541
TRUE,255.25585,8.384,0.088,2,1,40532451.51,F36,NOT,"255.25585,8.384",TRUE,255.25585,8.384,0.09,2,1,44480084.94,F1,LEN,"255.25585,8.384",1.097394391
TRUE,325.29759,8.439,0.08,3,1,405027323.2,F38,NOT,"325.29759,8.439",TRUE,325.29759,8.439,0.068,3,1,352211743.7,F1,LEN,"325.29759,8.439",0.869599959
TRUE,622.46174,8.458,0.066,2,2,32033675.14,F38,NOT,"622.46174,8.458",TRUE,622.46174,8.458,0.06,3,2,49050118.04,F1,LEN,"622.46174,8.458",1.531204828
TRUE,562.49415,8.458,0.081,3,1,17749104.3,F42,NOT,"562.49415,8.458",TRUE,562.49415,8.458,0.106,3,1,18672485.11,F27,LEN,"562.49415,8.458",1.052024079
TRUE,380.25972,8.467,0.086,3,1,46735098.75,F40,NOT,"380.25972,8.467",TRUE,380.25972,8.467,0.11,3,1,54394624.46,F28,LEN,"380.25972,8.467",1.163892362
TRUE,311.31819,8.707,0.086,3,1,305072567.8,F39,NOT,"311.31819,8.707",TRUE,311.31819,8.707,0.08,3,1,248661177.8,F28,LEN,"311.31819,8.707",0.815088618
TRUE,320.30733,8.738,0.075,3,2,288598407.3,F38,NOT,"320.30733,8.738",TRUE,320.30733,8.738,0.079,3,2,332031891,F27,LEN,"320.30733,8.738",1.150498002
TRUE,380.3513,9.765,0.091,3,2,367824584.6,F36,NOT,"380.3513,9.765",TRUE,380.3513,9.765,0.097,4,2,794646006.4,F27,LEN,"380.3513,9.765",2.160393948
TRUE,210.17301,9.765,0.101,3,2,304206242,F35,NOT,"210.17301,9.765",TRUE,210.17301,9.765,0.096,2,2,86070995.23,F1,LEN,"210.17301,9.765",0.282936322
TRUE,315.20381,9.927,0.098,3,1,127864421.2,F41,NOT,"315.20381,9.927",TRUE,315.20381,9.927,0.094,2,1,85880058.69,F33,LEN,"315.20381,9.927",0.671649376
TRUE,315.20381,10.161,0.085,3,1,388615225.3,F41,NOT,"315.20381,10.161",TRUE,315.20381,10.161,0.086,3,1,281061418.7,F33,LEN,"315.20381,10.161",0.72323831
TRUE,265.20354,10.386,0.122,2,1,201183260,F42,NOT,"265.20354,10.386",TRUE,265.20354,10.386,0.132,2,2,39998052.97,F30,LEN,"265.20354,10.386",0.198814021
TRUE,240.18311,10.414,0.18,2,1,44841846.07,F45,NOT,"240.18311,10.414",TRUE,240.18311,10.414,0.167,2,1,73389267.03,F30,LEN,"240.18311,10.414",1.63662457
TRUE,240.18357,10.416,0.172,2,1,31400874.88,F36,NOT,"240.18357,10.416",TRUE,240.18357,10.416,0.178,2,1,32659566.56,F25,LEN,"240.18357,10.416",1.040084605
TRUE,414.24584,10.445,0.078,3,2,222925183.2,F39,NOT,"414.24584,10.445",TRUE,414.24584,10.445,0.08,3,2,267930144.1,F28,LEN,"414.24584,10.445",1.2018837
TRUE,340.20909,10.561,0.077,3,2,371536278.3,F39,NOT,"340.20909,10.561",TRUE,340.20909,10.561,0.079,3,3,544643455.9,F27,LEN,"340.20909,10.561",1.465922678
TRUE,436.37699,10.574,0.108,2,1,14955690.58,F39,NOT,"436.37699,10.574",TRUE,436.37699,10.574,0.12,2,1,16980274.06,F29,LEN,"436.37699,10.574",1.135372116
TRUE,429.29323,10.708,0.075,3,1,81336998.39,F39,NOT,"429.29323,10.708",TRUE,429.29323,10.708,0.074,3,1,91032840.22,F25,LEN,"429.29323,10.708",1.119205798
TRUE,367.31943,10.708,0.109,2,1,21725968.9,F39,NOT,"367.31943,10.708",TRUE,367.31943,10.708,0.1,2,1,21049409.59,F25,LEN,"367.31943,10.708",0.968859418
TRUE,270.19356,10.769,0.078,2,1,67089469.7,F42,NOT,"270.19356,10.769",TRUE,270.19356,10.769,0.084,2,1,17480323.4,F30,LEN,"270.19356,10.769",0.260552416
TRUE,580.41825,10.776,0.117,2,1,10388998.86,F45,NOT,"580.41825,10.776",TRUE,580.41825,10.776,0.106,2,1,20053133.41,F30,LEN,"580.41825,10.776",1.930227703
TRUE,570.35068,10.836,0.071,3,1,9599819.106,F40,NOT,"570.35068,10.836",TRUE,570.35068,10.836,0.073,3,1,8608230.931,F25,LEN,"570.35068,10.836",0.896707619
TRUE,354.25096,10.851,0.085,2,1,70120039.17,F44,NOT,"354.25096,10.851",TRUE,354.25096,10.851,0.084,2,1,76550561.26,F33,LEN,"354.25096,10.851",1.091707337
TRUE,624.40348,10.891,0.064,3,1,6643879.168,F35,NOT,"624.40348,10.891",TRUE,624.40348,10.891,0.076,2,1,18554379.46,F26,LEN,"624.40348,10.891",2.792702725
TRUE,221.16211,10.921,0.139,2,1,20729900.2,F44,NOT,"221.16211,10.921",TRUE,221.16211,10.921,0.11,2,1,24026306,F34,LEN,"221.16211,10.921",1.159016964
TRUE,562.40799,10.941,0.184,3,1,18802179.92,F44,NOT,"562.40799,10.941",TRUE,562.40799,10.941,0.153,2,1,24200830.75,F33,LEN,"562.40799,10.941",1.287128985
TRUE,517.34557,10.962,0.063,2,1,21334255.73,F40,NOT,"517.34557,10.962",TRUE,517.34557,10.962,0.066,2,1,33955313.96,F27,LEN,"517.34557,10.962",1.591586526
TRUE,250.17766,10.991,0.13,2,2,55142690.48,F37,NOT,"250.17766,10.991",TRUE,250.17766,10.991,0.142,2,1,36193778.92,F1,LEN,"250.17766,10.991",0.65636585
TRUE,348.14226,11.003,0.092,2,1,14828610.11,F36,NOT,"348.14226,11.003",TRUE,348.14226,11.003,0.121,2,1,26969956.43,F28,LEN,"348.14226,11.003",1.818778445
TRUE,298.16054,11.012,0.049,3,1,43588520.61,F37,NOT,"298.16054,11.012",TRUE,298.16054,11.012,0.047,2,1,31972773.84,F29,LEN,"298.16054,11.012",0.733513627
TRUE,326.19185,11.02,0.052,4,1,190751563.8,F35,NOT,"326.19185,11.02",TRUE,326.19185,11.02,0.058,3,1,77832157.79,F26,LEN,"326.19185,11.02",0.408028937
TRUE,326.19169,11.025,0.048,3,1,44099174.84,F43,NOT,"326.19169,11.025",TRUE,326.19169,11.025,0.048,3,1,77013101.08,F32,LEN,"326.19169,11.025",1.746361499
TRUE,219.16172,11.037,0.081,2,2,41485953.43,F44,NOT,"219.16172,11.037",TRUE,219.16172,11.037,0.073,2,2,43183293.22,F33,LEN,"219.16172,11.037",1.040913602
TRUE,712.45542,11.053,0.072,2,1,12630153.58,F37,NOT,"712.45542,11.053",TRUE,712.45542,11.053,0.094,2,1,48954916.26,F26,LEN,"712.45542,11.053",3.876034915
TRUE,144.11475,11.064,0.104,2,1,21117989.7,F44,NOT,"144.11475,11.064",TRUE,144.11475,11.064,0.096,2,1,21955210.54,F34,LEN,"144.11475,11.064",1.039644912
TRUE,259.15666,11.118,0.108,2,1,39757207.2,F39,NOT,"259.15666,11.118",TRUE,259.15666,11.118,0.113,2,1,44747435.97,F29,LEN,"259.15666,11.118",1.125517588
