Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,"Area, NOT",Study File ID,Sample,"WT,RT",Checked,Molecular Weight,RT [min],FWHM [min],Max. # MI,# Adducts,AreaBTZ,Study File ID,Sample,"WT,RT",Enrichment
TRUE,281.27123,8.36,0.074,2,1,14270636.59,F40,NOT,"281.27123,8.36",TRUE,281.27123,8.36,0.083,2,1,16104402.96,F8,BTZ,"281.27123,8.36",1.128499269
TRUE,258.18288,8.363,0.121,2,1,24047354.38,F36,NOT,"258.18288,8.363",TRUE,258.18288,8.363,0.107,2,1,23953303.65,F3,BTZ,"258.18288,8.363",0.996088936
TRUE,255.25536,8.382,0.081,2,1,28284485.68,F45,NOT,"255.25536,8.382",TRUE,255.25536,8.382,0.106,2,1,27355612.22,F11,BTZ,"255.25536,8.382",0.967159613
TRUE,325.29759,8.439,0.08,3,1,405027323.2,F38,NOT,"325.29759,8.439",TRUE,325.29759,8.439,0.069,3,1,341019884.6,F6,BTZ,"325.29759,8.439",0.841967603
TRUE,418.30782,8.467,0.102,3,1,68601922.91,F38,NOT,"418.30782,8.467",TRUE,418.30782,8.467,0.124,3,1,101776220.2,F6,BTZ,"418.30782,8.467",1.483576784
TRUE,311.3181,8.705,0.078,3,1,304960417.3,F40,NOT,"311.3181,8.705",TRUE,311.3181,8.705,0.09,3,1,168667344.3,F8,BTZ,"311.3181,8.705",0.553079465
TRUE,311.3178,8.707,0.076,3,1,329146690.5,F43,NOT,"311.3178,8.707",TRUE,311.3178,8.707,0.104,3,1,242464078.3,F12,BTZ,"311.3178,8.707",0.736644436
TRUE,330.21471,9.924,0.125,2,1,24243714.38,F40,NOT,"330.21471,9.924",TRUE,330.21471,9.924,0.098,2,1,17339134.2,F7,BTZ,"330.21471,9.924",0.715201224
TRUE,212.18857,10.015,0.078,3,1,141458087.9,F39,NOT,"212.18857,10.015",TRUE,212.18857,10.015,0.07,2,1,113748373.5,F6,BTZ,"212.18857,10.015",0.804113608
TRUE,315.16747,10.219,0.106,2,1,12164273.72,F45,NOT,"315.16747,10.219",TRUE,315.16747,10.219,0.1,2,1,8845350.462,F7,BTZ,"315.16747,10.219",0.727158124
TRUE,415.27733,10.297,0.068,2,1,22036901.32,F41,NOT,"415.27733,10.297",TRUE,415.27733,10.297,0.088,2,1,16272598.15,F4,BTZ,"415.27733,10.297",0.738424968
TRUE,300.24071,10.383,0.096,3,1,222418833.1,F39,NOT,"300.24071,10.383",TRUE,300.24071,10.383,0.094,3,1,253741708.1,F6,BTZ,"300.24071,10.383",1.14082834
TRUE,268.17821,10.448,0.095,2,1,31323747.25,F40,NOT,"268.17821,10.448",TRUE,268.17821,10.448,0.098,2,1,20072045.21,F6,BTZ,"268.17821,10.448",0.640793231
TRUE,268.178,10.448,0.109,2,1,17110296.43,F44,NOT,"268.178,10.448",TRUE,268.178,10.448,0.102,2,1,15587615.4,F11,BTZ,"268.178,10.448",0.911007911
TRUE,299.17232,10.566,0.103,2,1,16768455.98,F45,NOT,"299.17232,10.566",TRUE,299.17232,10.566,0.097,2,1,13721914.57,F12,BTZ,"299.17232,10.566",0.818317118
TRUE,503.33019,10.575,0.084,2,1,17555485.98,F36,NOT,"503.33019,10.575",TRUE,503.33019,10.575,0.09,2,1,12896600.7,F5,BTZ,"503.33019,10.575",0.734619407
TRUE,282.23024,10.645,0.097,2,1,15082094.49,F37,NOT,"282.23024,10.645",TRUE,282.23024,10.645,0.131,2,1,66331935.79,F4,BTZ,"282.23024,10.645",4.398058627
TRUE,546.32474,10.799,0.088,3,2,59939350.69,F35,NOT,"546.32474,10.799",TRUE,546.32474,10.799,0.083,3,2,66295342.56,F3,BTZ,"546.32474,10.799",1.106040386
TRUE,473.3188,10.835,0.081,3,1,470044335.7,F42,NOT,"473.3188,10.835",TRUE,473.3188,10.835,0.078,3,1,78640123.95,F12,BTZ,"473.3188,10.835",0.167303631
TRUE,570.35068,10.836,0.071,3,1,9599819.106,F40,NOT,"570.35068,10.836",TRUE,570.35068,10.836,0.074,3,1,7740209.921,F4,BTZ,"570.35068,10.836",0.80628706
TRUE,258.10967,10.861,0.098,2,1,7801461.408,F44,NOT,"258.10967,10.861",TRUE,258.10967,10.861,0.127,2,1,9667389.628,F12,BTZ,"258.10967,10.861",1.239176755
TRUE,324.24065,10.931,0.096,2,1,47326303.43,F39,NOT,"324.24065,10.931",TRUE,324.24065,10.931,0.091,2,1,41408644.08,F4,BTZ,"324.24065,10.931",0.874960457
TRUE,180.16222,10.936,0.088,2,1,17972467.58,F44,NOT,"180.16222,10.936",TRUE,180.16222,10.936,0.098,2,1,16430114.43,F12,BTZ,"180.16222,10.936",0.914182449
TRUE,317.18285,10.962,0.091,2,1,24608867.57,F45,NOT,"317.18285,10.962",TRUE,317.18285,10.962,0.105,2,1,29411909.18,F13,BTZ,"317.18285,10.962",1.195175239
TRUE,517.34557,10.962,0.063,2,1,21334255.73,F40,NOT,"517.34557,10.962",TRUE,517.34557,10.962,0.079,3,1,42592043.57,F4,BTZ,"517.34557,10.962",1.996415723
TRUE,277.20363,10.983,0.078,2,2,303503609.7,F39,NOT,"277.20363,10.983",TRUE,277.20363,10.983,0.078,2,2,285360167,F4,BTZ,"277.20363,10.983",0.94022001
TRUE,298.16054,11.011,0.044,2,1,32370905.11,F36,NOT,"298.16054,11.011",TRUE,298.16054,11.011,0.046,2,1,25765256.2,F3,BTZ,"298.16054,11.011",0.795938702
TRUE,383.31371,11.014,0.101,2,1,84162811.31,F41,NOT,"383.31371,11.014",TRUE,383.31371,11.014,0.095,2,1,70151833.48,F12,BTZ,"383.31371,11.014",0.833525311
TRUE,312.17622,11.015,0.048,4,1,188859653,F35,NOT,"312.17622,11.015",TRUE,312.17622,11.015,0.047,3,1,130828400.6,F8,BTZ,"312.17622,11.015",0.692728164
TRUE,406.36618,11.041,0.083,2,1,37970175.42,F42,NOT,"406.36618,11.041",TRUE,406.36618,11.041,0.086,2,1,8999919.845,F7,BTZ,"406.36618,11.041",0.237026028
TRUE,244.0394,11.063,0.101,2,1,14944087.44,F36,NOT,"244.0394,11.063",TRUE,244.0394,11.063,0.126,2,1,22919004.64,F3,BTZ,"244.0394,11.063",1.53365033
TRUE,756.48178,11.116,0.082,2,1,17200578.21,F40,NOT,"756.48178,11.116",TRUE,756.48178,11.116,0.099,2,1,15485308.55,F4,BTZ,"756.48178,11.116",0.900278372
TRUE,475.28057,11.126,0.077,2,1,7023724.467,F37,NOT,"475.28057,11.126",TRUE,475.28057,11.126,0.084,2,1,34510346.35,F4,BTZ,"475.28057,11.126",4.913396947
TRUE,366.28752,11.134,0.168,2,1,58862837.11,F39,NOT,"366.28752,11.134",TRUE,366.28752,11.134,0.171,2,1,56968227.73,F4,BTZ,"366.28752,11.134",0.967813149
TRUE,605.39757,11.143,0.079,2,1,12058595.77,F39,NOT,"605.39757,11.143",TRUE,605.39757,11.143,0.083,2,1,11293820.72,F4,BTZ,"605.39757,11.143",0.936578432
TRUE,253.16742,11.179,0.094,2,1,49536741.39,F35,NOT,"253.16742,11.179",TRUE,253.16742,11.179,0.1,2,1,28676001.69,F5,BTZ,"253.16742,11.179",0.578883489
TRUE,800.50797,11.186,0.082,2,1,13088449.96,F40,NOT,"800.50797,11.186",TRUE,800.50797,11.186,0.085,4,1,15488961.56,F4,BTZ,"800.50797,11.186",1.183406867
