P35080,PFN2
P08865,RPSA
Q15843,NEDD8
P62854,RPS26
O43684,BUB3
P54725,RAD23A
P31939,ATIC
P15880,RPS2
P60900,PSMA6
P31153,MAT2A
P35268,RPL22
Q9GZU8,PSME3IP1
P20618,PSMB1
Q9H1E3,NUCKS1
P38159,RBMX
P35580,MYH10
P27708,CAD
Q9ULA0,DNPEP
P62857,RPS28
P84098,RPL19
P52292,KPNA2
Q9Y2S6,TMA7
Q9Y5B9,SUPT16H
O95747,OXSR1
P46940,IQGAP1
Q9Y5S9,RBM8A
P29692,EEF1D
P45974,USP5
Q08257,CRYZ
P16401,H1-5
P52209,PGD
P17987,TCP1
Q92522,H1-10
O95104,SCAF4
Q9BRJ6,C7orf50
P63244,RACK1
Q9P2T1,GMPR2
P80303,NUCB2
P18077,RPL35A
P46776,RPL27A
P06744,GPI
P25205,MCM3
P43034,PAFAH1B1
P52907,CAPZA1
P51532,SMARCA4
Q9NY33,DPP3
P49915,GMPS
P18065,IGFBP2
Q01105,SET
Q9HB07,MYG1
Q99497,PARK7
Q99436,PSMB7
P54727,RAD23B
Q86TI2,DPP9
P27348,YWHAQ
Q15286,RAB35
P47755,CAPZA2
Q06323,PSME1
P32455,GBP1
P50238,CRIP1
P49207,RPL34
P06753,TPM3
P31946,YWHAB
P09972,ALDOC
O75874,IDH1
P18858,LIG1
Q16881,TXNRD1
P14314,PRKCSH
Q9BRK5,SDF4
O43390,HNRNPR
P50914,RPL14
O95861,BPNT1
P11586,MTHFD1
P41250,GARS1
P14324,FDPS
P26358,DNMT1
Q0VDF9,HSPA14
P62491,RAB11A
Q9Y4L1,HYOU1
Q01581,HMGCS1
P36578,RPL4
P39019,RPS19
P12268,IMPDH2
Q9Y696,CLIC4
P49720,PSMB3
O75223,GGCT
P14618,PKM
P22102,GART
P09622,DLD
P07437,TUBB
Q14974,KPNB1
P62841,RPS15
Q9NTK5,OLA1
O14950,MYL12B
O75475,PSIP1
Q9NSE4,IARS2
P35606,COPB2
Q10570,CPSF1
P40926,MDH2
O60271,SPAG9
P11387,TOP1
P42768,WAS
P08238,HSP90AB1
P52788,SMS
P29350,PTPN6
O43852,CALU
P47756,CAPZB
P78417,GSTO1
P10599,TXN
Q01082,SPTBN1
P35998,PSMC2
Q09028,RBBP4
P14735,IDE
P62995,TRA2B
O43592,XPOT
Q9UHD8,SEPTIN9
P49368,CCT3
Q9Y266,NUDC
P42285,MTREX
Q9UBE0,SAE1
P23381,WARS1
Q9UEE9,CFDP1
Q96G03,PGM2
P52888,THOP1
P50395,GDI2
Q9HA64,FN3KRP
P68371,TUBB4B
P56537,EIF6
Q04837,SSBP1
P00441,SOD1
P61160,ACTR2
O00154,ACOT7
P62906,RPL10A
Q13428,TCOF1
O14737,PDCD5
Q8WW12,PCNP
P47914,RPL29
O60763,USO1
Q13564,NAE1
Q13409,DYNC1I2
P55786,NPEPPS
Q8N163,CCAR2
P55060,CSE1L
Q00796,SORD
P46778,RPL21
P41732,TSPAN7
P32942,ICAM3
P26368,U2AF2
Q9Y223,GNE
P83731,RPL24
