P23284
P62136
P31040
O14787
O60610
P61927
P80297
Q9Y6W5
O43847
Q9Y285
Q6PD62
P61224
Q9BPX3
P02786
Q66PJ3
Q9NTZ6
P02452
P62495
P07339
O76071
P21281
Q04637
P53621
P82970
P38919
P62328
P06748
Q8IYB3
P05204
Q9H446
P62805
Q16630
Q9Y6E2
Q9NR45
P52597
Q9Y678
Q14683
P29144
Q16666
P08575
Q15021
P22626
Q13011
P83881
Q8N8S7
Q12905
P43403
Q969Q0
Q15428
Q10713
Q15365
P16403
Q9Y237
P34897
Q16695
Q7L7L0
P63151
P07237
Q13813
P18206
P13667
Q07020
P07910
P30101
Q96ER3
P24752
P06576
Q9Y547
P07954
Q8N543
Q9Y230
O95831
P68104
P61956
O43175
P40306
P48735
Q9UMS4
O95777
P20042
P04818
P09960
P19338
P62633
P16104
Q9NWB6
P33992
P62241
P11388
P56192
P25787
P16402
P06239
P54577
Q12906
Q01081
Q9UJW0
O00303
P55072
O14818
P10809
P49327
Q9BRF8
P62266
Q15057
P39023
Q9GZL7
P25685
Q14103
Q9UHD1
O75436
Q14204
O15144
P00558
P62158
P30040
O75369
O00193
O43598
P11021
Q9BQE3
P00747
Q9Y2B0
P00505
P49792
Q9P2J5
Q15631
P29401
P31350
P49006
O60506
P50993
P12814
P25786
P14550
O00487
Q96F07
P08708
Q02878
O60880
P13010
P30044
P30041
O60841
P15153
Q13630
Q9UQE7
Q13435
Q96CT7
P14625
P46782
A0AVT1
P11142
P43487
O15143
P46087
Q8IUI8
Q32MZ4
P62316
Q16643
P41091
Q9BXJ9
Q13283
P04040
Q01433
Q16531
Q99832
Q9Y617
P18621
O75643
P50570
P06733
P27797
P38646
P51665
P20290
Q7Z4V5
Q6P2Q9
P60953
Q96RS6
Q05086
P54578
Q02543
P15531
Q92973
Q9BWD1
P62750
P35241
P23528
P60842
P17174
P46779
P61586
P53618
Q92854
P42677
P49736
O00299
P09211
P09874
Q9BTC8
P05114
P09104
P40429
Q04446
O14980
P47813
Q8WXX5
Q15459
P26038
Q13867
Q9HAV4
Q02790
Q9NQW7
P51784
Q5T6V5
P49366
P83916
O75368
P34932
P61313
P48637
Q13347
P07195
Q14978
Q9UBQ0
Q9UIA9
Q08188
P54687
P24534
P78371
P05198
P40227
O43242
P49589
O43719
P27816
Q15424
O43707
P12081
Q9NUV9
Q09161
P0DMV9
Q9BTW9
P62937
Q9Y262
P12956
P35269
P25705
P62910
P30050
Q16576
O75995
Q13247
Q9UKK9
O75367
Q07021
P00338
Q9BTE6
P12004
P49588
P55809
P60660
Q13620
P34913
Q13427
P13798
P33316
P41227
Q15427
P67936
Q9Y3F4
P04083
O43491
P13746
P23526
P15121
P61221
Q8NE71
P11717
Q92945
P23588
Q9NR30
Q9Y265
P43243
P62913
P09429
P48444
P35080
P08865
Q15843
P62854
O43684
P54725
P31939
P15880
P60900
P31153
P35268
Q9GZU8
P20618
Q9H1E3
P38159
P35580
P27708
Q9ULA0
P62857
P84098
P52292
Q9Y2S6
Q9Y5B9
O95747
P46940
Q9Y5S9
P29692
P45974
Q08257
P16401
P52209
P17987
Q92522
O95104
Q9BRJ6
P63244
Q9P2T1
P80303
P18077
P46776
P06744
P25205
P43034
P52907
P51532
Q9NY33
P49915
P18065
Q01105
Q9HB07
Q99497
Q99436
P54727
Q86TI2
P27348
Q15286
P47755
Q06323
P32455
P50238
P49207
P06753
P31946
P09972
O75874
P18858
Q16881
P14314
Q9BRK5
O43390
P50914
O95861
P11586
P41250
P14324
P26358
Q0VDF9
P62491
Q9Y4L1
Q01581
P36578
P39019
P12268
Q9Y696
P49720
O75223
P14618
P22102
P09622
P07437
Q14974
P62841
Q9NTK5
O14950
O75475
Q9NSE4
P35606
Q10570
P40926
O60271
P11387
P42768
P08238
P52788
P29350
O43852
P47756
P78417
P10599
Q01082
P35998
Q09028
P14735
P62995
O43592
Q9UHD8
P49368
Q9Y266
P42285
Q9UBE0
P23381
Q9UEE9
Q96G03
P52888
P50395
Q9HA64
P68371
P56537
Q04837
P00441
P61160
O00154
P62906
Q13428
O14737
Q8WW12
P47914
O60763
Q13564
Q13409
P55786
Q8N163
P55060
Q00796
P46778
P41732
P32942
P26368
Q9Y223
P83731
P60174
P11310
Q9BY44
Q99447
Q8N806
Q9NYF8
P46777
P14866
Q96HE7
P10412
O00410
P62249
P25398
Q5JXB2
P23193
Q13838
P62826
P48506
P55160
P61758
P50552
O43143
Q14240
P00813
P18124
P08133
P26373
Q86UX7
P37837
P40925
P42574
O43396
Q2TAY7
P28062
Q14019
Q15029
P41252
P22392
P04075
O14744
P63104
P26641
Q9UI26
Q14203
Q7Z6Z7
Q99729
P31948
O95373
Q00688
P48643
P61254
Q9NVX2
Q07955
P05455
P14868
Q9H4A4
P26196
Q00610
P61247
Q15084
P21399
P50502
P27635
B5ME19
P28066
O14929
Q9ULV4
P60228
O95865
P62280
Q5MIZ7
P40121
P33991
Q92900
O76021
P50990
P62899
O14562
P15311
Q15257
P33993
Q27J81
P25788
P61204
P53999
O15355
P52306
Q13242
P18669
P50991
Q16222
Q9Y2V2
Q9Y5L0
P16989
Q8WZA9
Q13451
Q9UHY7
P61513
Q13200
Q99879
Q8WYJ6
Q9UBT2
P61086
O75390
P60866
Q15181
Q9UK76
P13796
O75822
Q13951
Q99460
P60520
P62917
Q96CW1
P55209
P11766
P16949
P62847
P62979
P62269
P15104
P42167
P25789
Q9BRA2
O95433
P28070
P07814
P61353
O75531
P60510
Q9UKV3
Q8WUM4
P62851
P28065
P04406
P10768
P12955
P78527
P47897
O95218
O75533
Q00534
P11216
Q8NCW5
Q9UPT8
P17096
P84103
Q14141
P31150
P67809
Q99536
P60891
P07737
Q63HN8
Q9NWT6
Q06124
Q9UNZ2
P30086
P00367
Q96QK1
P61978
P62263
Q06210
P49591
P46781
P53396
O15371
Q13185
Q99426
Q9NZT2
Q04917
Q9H2U2
P37802
P26599
P06454
Q9NUQ9
Q15185
Q06830
P31689
Q99598
P21333
O95757
Q08945
O75663
P49593
P28074
Q8NBS9
O15372
P43358
P68036
P62993
P53041
P14151
Q13642
Q7Z5R6
P23921
Q12874
O94985
P30419
P33176
Q8IYS1
Q92804
P63000
Q9Y3U8
Q9HC38
Q99733
Q96P63
P08123
P62888
P00491
P48739
Q13098
Q15046
P30153
P52566
Q96KP4
P29218
Q14847
P51149
P48147
P07741
P05387
P62277
O60234
P61604
Q9NQR4
P62701
O75347
Q9Y294
Q9UJU6
O94776
P11413
P61326
P55884
P25311
P32119
P49321
P26639
P61981
Q14152
P26640
Q16181
Q9UI08
P31146
Q13561
P11940
P55036
P28072
P54136
Q5T4S7
P27695
Q9Y2W1
O75821
P51858
Q3LXA3
Q8N257
Q9UQ35
Q8NC51
Q01813
Q9P258
Q9P2E9
P49247
Q15691
Q10471
O15067
O43583
P00390
Q96GD0
P35579
P22314
O43776
P39748
P28838
P13639
P30566
Q9NRX4
P62258
O14745
O95989
P07900
P30520
Q9NQ29
Q14566
P20700
Q14697
Q16629
Q06203
Q9UL46
Q9NY27
Q9HB71
Q92598
P17812
P23368
P19174
P23246
Q9UNN5
P08621
Q9UHX1
P36871
Q9Y490
P45973
Q7KZF4
P05388
O96019
Q9BXS5
O95819
Q16543
Q9NZ08
P15170
Q9UQ80
O76011
Q15102
Q9Y383
P23396
Q15056
P38606
P63010
Q13442
Q99873
P62424
Q16775
P68363
P52565
Q99798
Q15437
Q08170
Q9Y3C6
Q92922
O75083
Q96EB6
P27694
P27707
P09651
P13489
P60709
Q00839
P00492
Q16555
P46783
Q15393
Q86VP6
Q15019
P63241
P61158
P19623
P13693
Q01518
O75494
Q01130
Q9P016
P49841
P22234
Q08211
Q9Y570
P32969
Q13263
Q9UJ70
P62244
P39687
P61163
Q86V81
P26583
P62753
